NAME,Lat,Lon,Date,Time,Load
8th Ave & 33rd St At Se Corner,40.75129133,-73.993887,,,1
8th Ave & 33rd St At Nw Corner,40.75167733,-73.994107,,,1
8th Ave & 34th St At Se Corner,40.75202033,-73.993352,,,1
8th Ave & 34th St At Nw Corner,40.75242733,-73.993679,,,1
8th Ave & 34th St At Ne Corner,40.75216133,-73.993109,,,1
8th Ave & 35th St At Nw Corner,40.75303233,-73.993188,,,1
8th Ave & 35th St At Ne Corner,40.75276633,-73.992596,,,1
7th Ave & 34th St At Nw Corner,40.75118733,-73.990791,,,1
8th Ave & 40th St At Ne Corner,40.75593034,-73.990492,,,1
4th Ave & 14th St At Se Corner,40.73420633,-73.989547,,,1
3rd Ave & 14th St At Se Corner (To Brooklyn Only),40.73296133,-73.986657,,,1
3rd Ave & 14th St At Ne Corner (To 8 Av Only),40.73327733,-73.986931,,,1
1st Ave & 14th St At Se Corner (To Brooklyn Only),40.73105033,-73.982625,,,1
1st Ave & 14th St At Se Corner (To Brooklyn Only),40.73111833,-73.982563,,,1
1st Ave & 14th St At Ne Corner (To 8 Av Only),40.73139733,-73.982112,,,1
Broadway & 22nd St At Nw Corner (Downtown Only),40.74075833,-73.989632,,,1
5th Ave & 22nd St At Ne Corner (Downtown Only),40.74127133,-73.989639,,,1
Chambers St & West Broadway At Sw Corner,40.71544433,-74.009453,,,1
Chambers St & West Broadway At Se Corner,40.71534933,-74.009211,,,1
Chambers St & West Broadway At Ne Corner,40.71557633,-74.009031,,,1
Church St & Chambers St At Sw Corner,40.71487333,-74.008162,,,1
Church St & Chambers St At Se Corner,40.71477733,-74.007903,,,1
Church St & Chambers St At Ne Corner,40.71499233,-74.007739,,,1
Varick St & Franklin St At Sw Corner (Downtown Only),40.71896533,-74.007121,,,1
West Broadway & Franklin St At Sw Corner (Uptown Only),40.71900133,-74.006675,,,1
Varick St & North Moore St At Ne Corner (Uptown Only),40.71991833,-74.00662,,,1
Canal St & Varick St At Nw Corner (Downtown Only),40.72293233,-74.00662,,,1
Broadway & 23rd St At Nw Corner (Downtown Only),40.74197933,-73.989404,,,1
Broadway & 23rd St At Se Corner (Uptown Only),40.74108033,-73.989083,,,1
Broadway & 23rd St At Ne Corner (Uptown Only),40.74137833,-73.988895,,,1
Broadway & 23rd St At Ne Corner (Uptown Only),40.74153933,-73.988989,,,1
Park Ave & 23rd St At Sw Corner (Downtown Only),40.74009733,-73.986601,,,1
Park Ave & 23rd St At Sw Corner (Downtown Only),40.74018033,-73.986617,,,1
Park Ave & 23rd St At Se Corner (Uptown Only),40.74000833,-73.986233,,,1
Broadway & 28th St At Nw Corner (Downtown Only),40.74548833,-73.98901,,,1
Broadway & 28th St At Se Corner (Uptown Only),40.74509333,-73.988486,,,1
Park Ave & 23rd St At Ne Corner (Uptown Only),40.74018033,-73.986006,,,1
Park Ave & 28th St At Sw Corner (Downtown Only),40.74339433,-73.984409,,,1
Park Ave & 28th St At Nw Corner (Downtown Only),40.74348433,-73.98428,,,1
Park Ave & 28th St At Se Corner (Uptown Only),40.74316733,-73.983896,,,1
Park Ave & 28th St At Ne Corner (Uptown Only),40.74330433,-73.983857,,,1
Park Ave & 32nd St At Sw Corner (Downtown Only),40.74572333,-73.982531,,,1
Park Ave & 32nd St At Se Corner (Uptown Only),40.74558533,-73.982198,,,1
Park Ave & 33rd St At Se Corner (Uptown Only),40.74626333,-73.981663,,,1
Park Ave & 33rd St At Ne Corner (Uptown Only),40.74655033,-73.981533,,,1
6th Ave & 32nd St At Nw Corner,40.74874721,-73.98870514,,,1
Broadway & 34th St At Nw Corner,40.75007633,-73.988113,,,1
Broadway & 32nd St At Ne Corner,40.74836133,-73.988045,,,1
6th Ave & 35th St At Nw Corner,40.75064233,-73.987351,,,1
7th Ave & 40th St At Se Corner,40.75456833,-73.987827,,,1
Broadway & 40th St At Ne Corner,40.75430133,-73.986623,,,1
6th Ave & 40th St At Nw Corner,40.75370933,-73.985084,,,1
6th Ave & 40th St At Se Corner,40.75340833,-73.984892,,,1
State St & Whitehall St At   Corner,40.70201933,-74.013117,,,1
State & Battery Pl At Sw Corner,40.70415733,-74.014509,,,1
Broadway & Battery Pl At Nw Corner,40.70482533,-74.014572,,,1
Stone St & Whitehall St At Sw Corner,40.70401533,-74.013284,,,1
Broadway & Bowling Green At Nw Corner,40.70463433,-74.013554,,,1
Stone St & Whitehall St At Ne Corner,40.70412333,-74.013002,,,1
Broad St & Exchange Pl At Sw Corner,40.70577233,-74.01154,,,1
Broad St & Exchange Pl At Se Corner,40.70582833,-74.011287,,,1
Greenwich St & Morris St At Nw Corner (Downtown Only),40.70651233,-74.014299,,,1
Greenwich St & Morris St At Ne Corner (Uptown Only),40.70655333,-74.014114,,,1
Greenwich St & Rector St At Sw Corner (Downtown Only),40.70755833,-74.013867,,,1
Trinity Pl & Rector St At Sw Corner (Downtown Only),40.70751333,-74.013267,,,1
Trinity Pl & Rector St At Sw Corner (Downtown Only),40.70772133,-74.013118,,,1
Trinity Pl & Rector St At Se Corner (Uptown Only),40.70764733,-74.012924,,,1
Trinity Pl & Rector St At Nw Corner (Downtown Only),40.70806333,-74.012862,,,1
Trinity Pl & Rector St At Ne Corner (Uptown Only),40.70800933,-74.012704,,,1
Greenwich St & Rector St At Nw Corner (Downtown Only),40.70816133,-74.013603,,,1
Broadway & Rector St At Sw Corner,40.70731533,-74.012161,,,1
Broadway & Rector St At Nw Corner,40.70757731,-74.01192701,,,1
Broadway & Rector St At Se Corner,40.70719033,-74.011997,,,1
Broadway & Wall St At Se Corner,40.70744633,-74.011848,,,1
Broad St & Exchange Pl At Nw Corner,40.70637933,-74.011274,,,1
Broad St & Exchange Pl At Se Corner,40.70614233,-74.011128,,,1
Broad St & Wall St At Se Corner,40.70690133,-74.010689,,,1
Church St & Cortlandt St At Se Corner (Uptown Only),40.71020133,-74.011198,,,1
Church St & Cortlandt St At Ne Corner (Uptown Only),40.71043533,-74.011066,,,1
Church St & Dey St At Se Corner (Uptown Only),40.71106533,-74.010644,,,1
Broad St & Wall St At Se Corner,40.70693133,-74.010489,,,1
William St & Wall St At Sw Corner,40.70638533,-74.009658,,,1
William St & Wall St At Se Corner,40.70627233,-74.009447,,,1
William St & Wall St At Nw Corner,40.70650633,-74.009544,,,1
William St & Cedar St At Nw Corner,40.70743133,-74.008778,,,1
Fulton St & Nassau St At Se Corner,40.71010633,-74.007648,,,1
Broadway & Dey St At Sw Corner,40.71045433,-74.009696,,,1
Church St & Fulton St At Ne Corner,40.71171033,-74.010204,,,1
Broadway & John St At Se Corner,40.71016833,-74.009422,,,1
Broadway & Fulton St At Sw Corner,40.71091333,-74.009266,,,1
Church St & Vesey St At Nw Corner,40.71225834,-74.010306,,,1
Church St & Park Pl At Se Corner,40.71303633,-74.009245,,,1
Church St & Park Pl At Sw Corner,40.71328633,-74.009511,,,1
Church St & Park Pl At Ne Corner,40.71333333,-74.009033,,,1
Church St & Murray St At Nw Corner,40.71394933,-74.00896,,,1
7th Ave & 12th St At Ne Corner,40.73719733,-74.0004,,,1
7th Ave & 13th St At Nw Corner,40.73801333,-74.000329,,,1
7th Ave & 14th St At Sw Corner,40.73848433,-73.999914,,,1
7th Ave & 14th St At Se Corner,40.73835833,-73.999656,,,1
40-33 21 Street,40.75425538,-73.94193509,,,1
908 Fulton Street (To Queens Only),40.6828262,-73.96455533,,,1
36 Bond Street,40.68839633,-73.984216,,,1
27 Cleveland Place (Uptown Only),40.72211633,-73.996912,,,1
137 East 42 Street (Enter From E 43 St),40.75180133,-73.975294,,,1
481 8 Avenue,40.75287733,-73.993244,,,1
